Unnamed: 0.1,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,bowler,Type,dreamll_score
0,G Gambhir,58,49,7.0,1.0,1,0,0,0,0,79.0
1,S Dhawan,52,44,8.0,0.0,1,0,0,0,0,72.0
2,V Sehwag,12,4,3.0,0.0,0,0,0,SR Watson,bowled,19.0
3,D Salunkhe,26,20,4.0,0.0,0,0,0,0,0,34.0
4,DS Lehmann,1,2,0.0,0.0,0,0,0,MF Maharoof,lbw,5.0
5,M Kaif,9,19,0.0,0.0,0,0,0,R Bhatia,caught,13.0
6,M Rawat,2,4,0.0,0.0,0,0,0,R Bhatia,bowled,6.0
7,RA Jadeja,29,24,2.0,2.0,0,0,0,DL Vettori,bowled,39.0
8,SK Trivedi,3,7,0.0,0.0,0,0,0,0,0,7.0
9,SK Warne,14,13,2.0,0.0,0,0,0,MF Maharoof,bowled,20.0
10,SR Watson,21,15,4.0,0.0,0,0,0,R Bhatia,run out,29.0
11,T Kohli,7,13,0.0,1.0,0,0,0,GD McGrath,caught,13.0
12,YK Pathan,10,5,2.0,0.0,0,0,0,B Geeves,run out,16.0
