,batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
769,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,Imran Tahir,2,2,0.0,0.0,0,0,0,6.0,100.0,A Nehra,caught and bowled
768,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,Harbhajan Singh,8,6,1.0,0.0,0,0,0,13.0,133.33333333333331,Y Venugopal Rao,caught
767,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,DL Chahar,0,1,0.0,0.0,0,0,1,2.0,0.0,DW Steyn,bowled
765,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,AT Rayudu,22,19,4.0,0.0,0,0,0,30.0,115.78947368421052,Sohail Tanvir,caught
7614,Mumbai Indians,Chennai Super Kings,1136561,2018-04-07,E Lewis,0,2,0.0,0.0,0,0,1,2.0,0.0,Kuldeep Yadav,stumped
7615,Mumbai Indians,Chennai Super Kings,1136561,2018-04-07,HH Pandya,22,20,2.0,0.0,0,0,0,28.0,110.0,Basil Thampi,caught
7616,Mumbai Indians,Chennai Super Kings,1136561,2018-04-07,Ishan Kishan,40,29,4.0,1.0,0,0,0,50.0,137.93103448275863,Kuldeep Yadav,caught
7618,Mumbai Indians,Chennai Super Kings,1136561,2018-04-07,RG Sharma,15,19,1.0,1.0,0,0,0,22.0,78.94736842105263,PJ Cummins,run out
7619,Mumbai Indians,Chennai Super Kings,1136561,2018-04-07,SA Yadav,43,29,6.0,1.0,0,0,0,55.0,148.27586206896552,JJ Bumrah,caught
775,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,SR Watson,16,14,1.0,1.0,0,0,0,23.0,114.28571428571428,SR Watson,run out
774,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,SK Raina,4,6,0.0,0.0,0,0,0,8.0,66.66666666666666,JH Kallis,bowled
773,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,RA Jadeja,12,13,1.0,0.0,0,0,0,17.0,92.3076923076923,SW Tait,caught
772,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,MS Dhoni,5,5,0.0,0.0,0,0,0,9.0,100.0,R Vinay Kumar,bowled
771,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,MA Wood,1,5,0.0,0.0,0,0,0,5.0,20.0,TM Dilshan,caught
770,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,KM Jadhav,24,23,1.0,2.0,0,0,0,33.0,104.34782608695652,P Kumar,caught
766,Chennai Super Kings,Mumbai Indians,1136561,2018-04-07,DJ Bravo,68,30,3.0,7.0,1,0,0,97.0,226.66666666666663,YK Pathan,caught
7617,Mumbai Indians,Chennai Super Kings,1136561,2018-04-07,KH Pandya,41,23,5.0,2.0,0,0,0,54.0,178.26086956521738,S Kaul,caught
12367,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,2018-04-08,SN Khan,6,10,0.0,0.0,0,0,0,10.0,60.0,RE van der Merwe,caught and bowled
12368,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,2018-04-08,V Kohli,31,33,1.0,1.0,0,0,0,38.0,93.93939393939394,S Sreesanth,bowled
7081,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,N Rana,34,27,2.0,2.0,0,0,0,44.0,125.92592592592592,AN Ahmed,caught
12366,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,2018-04-08,Q de Kock,4,4,1.0,0.0,0,0,0,9.0,100.0,DP Nannes,caught
12365,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,2018-04-08,Mandeep Singh,37,18,4.0,2.0,0,0,0,49.0,205.5555555555556,PP Ojha,caught
12364,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,2018-04-08,CR Woakes,5,5,1.0,0.0,0,0,0,10.0,100.0,DL Vettori,caught
12363,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,2018-04-08,BB McCullum,43,28,6.0,2.0,0,0,0,57.0,153.57142857142858,P Kumar,caught
7078,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,AD Russell,15,13,2.0,1.0,0,0,0,23.0,115.38461538461536,JD Unadkat,caught
7079,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,CA Lynn,5,8,1.0,0.0,0,0,0,10.0,62.5,PV Tambe,caught
7080,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,KD Karthik,35,32,4.0,0.0,0,0,0,43.0,109.375,MG Johnson,caught
7082,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,R Vinay Kumar,6,4,1.0,0.0,0,0,0,11.0,150.0,YS Chahal,caught
7083,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,RK Singh,6,7,1.0,0.0,0,0,0,11.0,85.71428571428571,NM Coulter-Nile,caught
7084,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,2018-04-08,RV Uthappa,13,12,0.0,1.0,0,0,0,19.0,108.33333333333331,TA Boult,caught
