batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Kings XI Punjab,Mumbai Indians,980985,2016-05-13,GJ Maxwell,0,2,0.0,0.0,0,0,1,2.0,0.0,MJ McClenaghan,caught
Kings XI Punjab,Mumbai Indians,980985,2016-05-13,Gurkeerat Singh,6,4,1.0,0.0,0,0,0,11.0,150.0,0,0
Kings XI Punjab,Mumbai Indians,980985,2016-05-13,HM Amla,0,5,0.0,0.0,0,0,1,2.0,0.0,TG Southee,lbw
Kings XI Punjab,Mumbai Indians,980985,2016-05-13,M Vijay,54,55,5.0,1.0,1,0,0,73.0,98.1818181818182,0,0
Kings XI Punjab,Mumbai Indians,980985,2016-05-13,WP Saha,56,40,6.0,1.0,1,0,0,76.0,140.0,MJ McClenaghan,bowled
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,AT Rayudu,0,3,0.0,0.0,0,0,1,2.0,0.0,Sandeep Sharma,bowled
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,Harbhajan Singh,14,10,1.0,1.0,0,0,0,21.0,140.0,0,0
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,JC Buttler,9,10,1.0,0.0,0,0,0,14.0,90.0,MP Stoinis,caught
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,JJ Bumrah,2,2,0.0,0.0,0,0,0,6.0,100.0,0,0
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,KA Pollard,27,20,0.0,3.0,0,0,0,37.0,135.0,MP Stoinis,bowled
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,KH Pandya,19,12,1.0,1.0,0,0,0,26.0,158.33333333333331,MP Stoinis,caught
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,MJ McClenaghan,4,4,1.0,0.0,0,0,0,9.0,100.0,Sandeep Sharma,caught
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,N Rana,25,29,0.0,3.0,0,0,0,35.0,86.20689655172413,MP Stoinis,caught
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,RG Sharma,15,24,1.0,0.0,0,0,0,20.0,62.5,AR Patel,bowled
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,TG Southee,1,3,0.0,0.0,0,0,0,5.0,33.33333333333333,MM Sharma,caught
Mumbai Indians,Kings XI Punjab,980985,2016-05-13,UBT Chand,0,5,0.0,0.0,0,0,1,2.0,0.0,MM Sharma,caught
