batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,JA Morkel,29,19,1.0,2.0,0,0,0,38.0,152.63157894736844,R Bhatia,caught
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,Joginder Sharma,16,10,1.0,1.0,0,0,0,23.0,160.0,Sohail Tanvir,bowled
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,MS Dhoni,23,32,2.0,0.0,0,0,0,29.0,71.875,GD McGrath,run out
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,MS Gony,15,6,0.0,2.0,0,0,0,23.0,250.0,DS Kulkarni,caught
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,PA Patel,4,6,1.0,0.0,0,0,0,9.0,66.66666666666666,DW Steyn,caught
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,S Anirudha,1,8,0.0,0.0,0,0,0,5.0,12.5,Sohail Tanvir,caught
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,S Badrinath,0,5,0.0,0.0,0,0,1,2.0,0.0,YK Pathan,caught
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,SK Raina,32,21,5.0,0.0,0,0,0,41.0,152.38095238095238,DW Steyn,bowled
Chennai Super Kings,Deccan Chargers,336007,2008-05-06,SP Fleming,14,17,2.0,0.0,0,0,0,20.0,82.35294117647058,Y Venugopal Rao,caught
Chennai Super Kings,Deccan Chargers,336037,2008-05-27,JA Morkel,12,12,1.0,0.0,0,0,0,17.0,100.0,A Nehra,caught and bowled
Chennai Super Kings,Deccan Chargers,336037,2008-05-27,MS Dhoni,37,27,4.0,1.0,0,0,0,47.0,137.03703703703704,P Kumar,caught
Chennai Super Kings,Deccan Chargers,336037,2008-05-27,PA Patel,20,29,3.0,0.0,0,0,0,27.0,68.96551724137932,TM Dilshan,caught
Chennai Super Kings,Deccan Chargers,336037,2008-05-27,SK Raina,54,46,5.0,2.0,1,0,0,75.0,117.3913043478261,R Vinay Kumar,bowled
Chennai Super Kings,Deccan Chargers,336037,2008-05-27,SP Fleming,14,10,3.0,0.0,0,0,0,21.0,140.0,SW Tait,caught
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,JA Morkel,13,7,1.0,1.0,0,0,0,20.0,185.7142857142857,JH Kallis,bowled
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,JDP Oram,41,29,4.0,2.0,0,0,0,53.0,141.3793103448276,SR Watson,run out
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,ML Hayden,49,36,8.0,0.0,0,0,0,61.0,136.11111111111111,V Sehwag,caught
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,MS Dhoni,22,24,1.0,1.0,0,0,0,29.0,91.66666666666666,PP Ojha,caught
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,PA Patel,0,2,0.0,0.0,0,0,1,2.0,0.0,SL Malinga,run out
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,S Badrinath,8,9,1.0,0.0,0,0,0,13.0,88.88888888888889,JJ van der Wath,caught
Chennai Super Kings,Deccan Chargers,392196,2009-04-27,SK Raina,25,20,1.0,2.0,0,0,0,34.0,125.0,Harbhajan Singh,bowled
Chennai Super Kings,Deccan Chargers,392209,2009-05-04,JA Morkel,4,5,0.0,0.0,0,0,0,8.0,80.0,JE Taylor,caught
Chennai Super Kings,Deccan Chargers,392209,2009-05-04,M Vijay,31,33,2.0,1.0,0,0,0,39.0,93.93939393939394,PP Ojha,run out
Chennai Super Kings,Deccan Chargers,392209,2009-05-04,ML Hayden,43,28,5.0,3.0,0,0,0,58.0,153.57142857142858,A Mithun,caught
Chennai Super Kings,Deccan Chargers,392209,2009-05-04,MS Dhoni,58,39,6.0,1.0,1,0,0,78.0,148.71794871794873,CH Gayle,caught
